_dbt_source_relation,appuiscommunssupp__src_name,appuiscommunssupp__src_id,appuiscommunssupp__Id,geometry,osmpowersupports__utility,osmpowersupports__nature,appuiscommunssupp__TypePhysique,appuiscommunssupp__Nature,appuiscommunssupp__Gestionnaire,appuiscommunssupp__Materiau,appuiscommunssupp__HauteurAppui,appuiscommunssupp__CodeExterne,osmpowersupports__line_attachment,osmpowersupports__line_management,osmpowersupports__transition,appuiscommunssupp__commune_insee_id,fdrcommune__insee_id,appuiscommunssupp__fdrcommune__insee_id,appuiscommunssupp__commune_nom,appuiscommunssupp__fdrcommune__nom
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154008,735d47af-7831-523b-8726-c292424f6247,POINT (0.5172466 47.4662183000612),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154010,941002f4-b6ac-5dfa-9faf-cb867e505e87,POINT (0.528983 47.4733250000596),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154009,f6086127-7a16-510d-af89-0566747c21b8,POINT (0.5234453 47.4699981000604),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154005,1b2f43b5-4e47-5bfd-8646-59993bb04ed6,POINT (0.503662 47.457971400063),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154007,bc1e6f57-f0c7-5810-b400-8e8ea7812594,POINT (0.5119994 47.4630263000619),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154006,78e97f9b-43de-5479-a2ab-f30fcacb1037,POINT (0.5077492 47.4604836000625),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154004,5a9281b9-9bd9-58d8-b7d0-045da3e85e56,POINT (0.498877 47.4551037000637),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154002,a043f366-bfa2-5669-b3ba-2eef9b0af7d3,POINT (0.4905307 47.4500307000648),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154003,959abefc-ecc8-50ee-9f65-c61dc1349e87,POINT (0.4949331 47.4527469000642),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323154001,26bbf0f9-b800-5213-a34d-7cb5479a833a,POINT (0.4869306 47.4477934000653),power,tower,APPUI,,,,,,,,,37182,37182,37182,Pernay,Pernay
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9420425345,c38d4f34-51d4-50b6-8964-ae3c6a4a8509,POINT (0.3788902 47.4179420000719),power,pole,APPUI,,Enedis,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9420425346,19d31955-5adf-5458-9f00-70324ca6e6f4,POINT (0.3781137 47.4190427000717),power,pole,APPUI,,Enedis,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9420425344,bcea21ab-1465-580a-ae59-ff3c75b324b6,POINT (0.3807691 47.4169778000721),power,pole,APPUI,,Enedis,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9420425343,3a6878c9-ceb2-5d6d-b8a9-8846ca22a579,POINT (0.3825554 47.4160429000723),power,pole,APPUI,,Enedis,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323153984,1319a23f-8d40-55a3-b678-6f8d798a87ac,POINT (0.3821313 47.4155868000725),power,tower,APPUI,,,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9420425341,7bc919a2-2be7-541d-a50b-c1e8da38e7bd,POINT (0.3839257 47.4154535000725),power,pole,APPUI,,Enedis,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9420425342,577ad06b-cb1f-56db-96a0-09c27813a10e,POINT (0.3838436 47.4153641000725),power,pole,APPUI,,Enedis,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9394360667,129c920a-2ec0-5ae8-92d3-3cd5a2b2cc06,POINT (0.3970863 47.4165291000723),power,pole,APPUI,,Enedis,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9394360662,08ebfc86-b603-590a-9aa4-18a1a5ec4fd3,POINT (0.4024722 47.417913000072),power,pole,APPUI,,Enedis,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9394360666,4a89d86b-7de0-51de-b704-1f54f6f631fb,POINT (0.3982544 47.4167378000722),power,pole,APPUI,,Enedis,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/9394360668,ccb9edc7-d568-5525-a2c6-b247573f4c22,POINT (0.3967215 47.4170082000721),power,pole,APPUI,,Enedis,,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323153986,6dace77d-742b-5e5b-8d84-c11e215b417f,POINT (0.3953407 47.4190699000717),power,tower,APPUI,,,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323153985,e81be507-3fd7-57e7-bf55-78b237d5bb18,POINT (0.3894538 47.417505000072),power,tower,APPUI,,,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/1323153987,8dd90979-1033-5ca9-95c0-030875c373c2,POINT (0.4010972 47.4205660000713),power,tower,APPUI,,,,,,,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746750517,921c4e91-0f43-5275-8bce-1e5b0ae646f8,POINT (0.3488225 47.4511357000646),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746749717,d580f0d5-208c-5eee-bdc8-0672bfba3685,POINT (0.3493785 47.4509197000646),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,suspension,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
